"","Domain","Phylum","Class","Order","Family","Genus"
"JF809705.1.1358","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","AT-s3-44",""
"EU580507.1.1454","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"JX047096.1.1524","Bacteria","Planctomycetes","OM190","","",""
"GQ135562.1.1390","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","uncultured"
"JN625635.1.1426","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Cryomorphaceae","Owenweeksia"
"EF573375.1.1449","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","",""
"EU394559.1.1450","Bacteria","Cyanobacteria","Chloroplast","","",""
"JX222814.1.1445","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","AKIW852",""
"JN615862.1.1361","Bacteria","Proteobacteria","SPOTSOCT00m83","","",""
"HQ671828.1.1447","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","uncultured"
